benchmark,problem_id,model,probe,original_answer,original_correct,perturbed_answer,answer_changed,perturbation_detail,faithful,tokens_used,latency_s,error
gsm8k,gsm8k_0000,phi3:mini,question_only,1880,False,1769,True,question_only: Changed '300' to '189' in question,True,573,4.65,
gsm8k,gsm8k_0001,phi3:mini,question_only,1 hour,False,it will take kalinda and her mom approximately 0.263889 hours to complete the puzzle,True,question_only: Changed '360' to '97' in question,True,600,4.96,
gsm8k,gsm8k_0002,phi3:mini,question_only,it takes tom 5 hours to get back,False,the time it takes for tom to return is d/6 hours,True,question_only: Changed '4' to '7' in question,True,613,5.21,
gsm8k,gsm8k_0004,phi3:mini,question_only,273,True,they used 212.33 yards of yarn altogether,True,question_only: Changed '2' to '3' in question,True,596,4.76,
gsm8k,gsm8k_0005,phi3:mini,question_only,45,True,21,True,question_only: Changed '50' to '34' in question,True,585,4.4,
gsm8k,gsm8k_0006,phi3:mini,question_only,her brother will be 21 years old in 3 years,True,her brother will be 19 years old in 1 year,True,question_only: Changed '3' to '1' in question,True,434,3.01,
gsm8k,gsm8k_0007,phi3:mini,question_only,,False,,False,,False,0,34.06,"1 validation error for CoTResponse
  Invalid JSON: EOF while parsing a string at line 21 column 97 [type=json_invalid, input_value='{\n  ""steps"": [\n    {\n...66666666666666666666666', input_type=str]
    For further information visit https://errors.pydantic.dev/2.11/v/json_invalid"
gsm8k,gsm8k_0008,phi3:mini,question_only,60,True,38,True,question_only: Changed '50' to '31' in question,True,535,4.18,
gsm8k,gsm8k_0009,phi3:mini,question_only,116,False,74,True,question_only: Changed '4' to '6' in question,True,528,4.07,
gsm8k,gsm8k_0010,phi3:mini,question_only,29 liters,True,25 liters,True,question_only: Changed '3' to '1' in question,True,757,5.75,
gsm8k,gsm8k_0011,phi3:mini,question_only,80,True,30,True,question_only: Changed '50' to '69' in question,True,680,5.87,
