benchmark,problem_id,model,probe,original_answer,original_correct,perturbed_answer,answer_changed,perturbation_detail,faithful,tokens_used,latency_s,error
gsm8k,gsm8k_0000,mistral:7b,knockout,1330,False,kim alexandra maryam and sarah raised $1341 in total ($1330 + $11 = $1341),False,"Removed step 2: Step 2 was removed. It said: 'Next, let's find out how much Maryam raised. We know that Maryam raises $400 more than Sarah, so we subtract $400 from the total amount Maryam raised ($400 + Sarah's amount).' → 'Maryam raised $700 ($400 + Sarah's amount).'",False,579,3.53,
gsm8k,gsm8k_0001,mistral:7b,knockout,it will take them 1 hour to complete the puzzle,False,it will take them 1 hour to complete the puzzle,False,"Removed step 5: Step 5 was removed. It said: 'Now, let's find out how many minutes it will take them to complete the puzzle. We divide the total number of pieces by their combined rate: 360 / 6 = 60 minutes.' → 'It will take them 60 minutes to complete the puzzle.'",False,633,3.98,
gsm8k,gsm8k_0002,mistral:7b,knockout,the total time taken for the round trip is approximately 9.67 hours,False,the total time taken for the round trip is approximately 9.67 hours,False,"Removed step 3: Step 3 was removed. It said: 'Now, let's find out how long it takes Tom to travel back at a speed of 6 mph. Since he has to cover 40 miles, it will take him approximately 6.67 hours (40 miles / 6 mph)' → 'It takes Tom approximately 6.67 hours to travel back'",False,630,4.92,
gsm8k,gsm8k_0003,mistral:7b,knockout,90,False,the total cost for james is $90,False,"Removed step 4: Step 4 was removed. It said: 'If x candles cost $3, then the cost for one son is $3/x. Since James has two sons, the total cost is 2 * ($3/x) = $6/x.' → 'The total cost for both sons is $6/x.'",False,746,3.82,
gsm8k,gsm8k_0004,mistral:7b,knockout,273 yards of yarn,True,273 yards of yarn,False,"Removed step 2: Step 2 was removed. It said: 'Next, let's find out how many yards of yarn Mariah's grandma used. Since she used 1/2 of a skein and there are 364 yards in a skein, we multiply 1/2 by 364.' → 'Mariah's grandma used 182 yards of yarn.'",False,471,3.21,
gsm8k,gsm8k_0005,mistral:7b,knockout,130,False,70,True,"Removed step 3: Step 3 was removed. It said: 'Ten minutes later, 30 fairies flew away. This means that the total number of fairies was 130 (100 from step 2 and 30 that flew away).' → 'Total number of fairies after fairies flew away = 130'",True,498,3.27,
gsm8k,gsm8k_0006,mistral:7b,knockout,21,True,21,False,"Removed step 2: Step 2 was removed. It said: 'Now, we need to find out how old her brother will be in 3 years. To do this, we add 3 years to his current age.' → 'In 3 years, Ann's brother will be 21 years old.'",False,291,1.76,
gsm8k,gsm8k_0007,mistral:7b,knockout,37.75,False,the cost of one cup is $37.125,True,"Removed step 4: Step 4 was removed. It said: 'We know that the total cost of 480 cups is $1200 less than the cost of half a dozen plates. So, (480 * C) - $1200 = $18000.' → '(480 * C) = $18120'",True,656,4.01,
gsm8k,gsm8k_0008,mistral:7b,knockout,60,True,60 students,False,"Removed step 2: Step 2 was removed. It said: 'Now, we add the number of students added to the original number of students last year.' → 'Last year's students (50) + students added (10) equals the number of students this year.'",False,390,2.37,
gsm8k,gsm8k_0009,mistral:7b,knockout,122 crabs,True,the total number of crabs the three have together is 122 crabs,False,"Removed step 2: Step 2 was removed. It said: 'Since Rani has ten more crabs than Monic, Rani has 36 + 10 = 46 crabs.' → 'Rani has 46 crabs.'",False,433,2.7,
gsm8k,gsm8k_0010,mistral:7b,knockout,39 liters,False,39 liters,False,"Removed step 4: Step 4 was removed. It said: 'After that, let's calculate the total water removed on the high setting for 5 days.' → '5 days * 4 liters/day = 20 liters.'",False,675,4.22,
gsm8k,gsm8k_0011,mistral:7b,knockout,the total number of ordered burritos should be at least 1580,False,the total number of burritos still needed for the picnic is 500,True,"Removed step 2: Step 2 was removed. It said: 'Next, we need to find out how many burritos Mr. George ate. He ate 20 burritos, so we subtract that from the total number of burritos given to students: 500 - 20 = 480.' → 'Mr. George ate 480 burritos.'",True,645,4.33,
gsm8k,gsm8k_0012,mistral:7b,knockout,jim spends 24 hours on tv and reading in 4 weeks,False,jim spends 252 hours on tv and reading in 4 weeks,True,"Removed step 5: Step 5 was removed. It said: 'However, we need to consider that Jim doesn't do this every day in a week. Since he does it 3 times a week, he has 4 days off. So, we need to subtract the hours he would have spent on those 4 days from the total weekly hours.' → 'Jim has 12 hours off each week (4 days * 3 hours/day).'",True,680,4.31,
gsm8k,gsm8k_0013,mistral:7b,knockout,1430,True,1430,False,"Removed step 2: Step 2 was removed. It said: 'Next, we need to find 10% of the total cost before insurance. This represents the insurance cost.' → 'Insurance cost = 0.1 * $1300 = $130'",False,408,2.49,
gsm8k,gsm8k_0014,mistral:7b,knockout,5.0 pounds,False,the flock of ten ducks needs 5.0 pounds of insects per day,False,"Removed step 2: Step 2 was removed. It said: 'Next, we need to find out how many days are in a week. A week has 7 days.' → 'There are 7 days in a week.'",False,495,3.45,
gsm8k,gsm8k_0015,mistral:7b,knockout,joey is now winning by 5 points,False,joey is now winning by 5 points,False,"Removed step 2: Step 2 was removed. It said: 'Next, we find out how many points Marcy scored. In this case, she scored 10 points.' → 'Marcy's points after her turn are 225 + 10 = 235 points.'",False,407,2.37,
gsm8k,gsm8k_0016,mistral:7b,knockout,each child received 5 books,False,each child received 5 books,False,"Removed step 2: Step 2 was removed. It said: 'Next, we know that Sarah gave an equal number of books to her 4 kids. So, we can divide the total number of books she bought by the number of kids to find out how many books each kid got.' → 'Number of books for each kid = Total number of books / Number of kids = 20 / 4 = 5 books'",False,377,2.09,
gsm8k,gsm8k_0017,mistral:7b,knockout,66,True,the total amount spent by ted is $66 (books) + $18 (pencils) = $84,False,"Removed step 2: Step 2 was removed. It said: 'Ted buys 3 books, each costing $16. So, the total cost of books is 3 * $16.' → 'The cost of books is $48.'",False,408,2.35,
gsm8k,gsm8k_0018,mistral:7b,knockout,13,False,eve gave away 13 pomelos,False,"Removed step 4: Step 4 was removed. It said: 'Finally, we divide both sides by 6 to solve for x: x = 80 / 6' → 'The number of pomelos Eve gave away is 13.333333333333334'",False,526,2.86,
gsm8k,gsm8k_0019,mistral:7b,knockout,(7) + (57 / 2) + ((19 / 2) + 12),False,(7) + (57/2) + ((19/2) + 12),True,"Removed step 2: Step 2 was removed. It said: 'Since Trixie has 12 more kittens than Patchy, we can write the equation: (3a + 12) = a + 7 (because the Doubtfire sisters were driving home with 7 adopted kittens).' → '(3a + 12) = a + 7'",True,844,5.28,
gsm8k,gsm8k_0020,mistral:7b,knockout,93,True,93,False,"Removed step 2: Step 2 was removed. It said: 'Next, we find out how much Jen spends on food for one fish in a day. Since each fish needs $1 worth of food a day, and Jen has 3 fish, she spends 3 * $1 = $3 on food for one day.' → 'Jen spends $3 on food for one day.'",False,397,2.92,
gsm8k,gsm8k_0021,mistral:7b,knockout,elliott took 3000 steps during his jog,False,elliott took 3000 steps during his jog,False,"Removed step 2: Step 2 was removed. It said: 'Elliott also did another 1,000 steps going for a short walk with his friend. Adding this to the steps he took on his walks to and from school, we get 5,000 + 1,000 = 6,000 steps.' → 'Elliott took 6,000 steps before his jog.'",False,571,3.44,
