benchmark,problem_id,model,probe,original_answer,original_correct,perturbed_answer,answer_changed,perturbation_detail,faithful,tokens_used,latency_s,error
gsm8k,gsm8k_0000,qwen2.5:1.5b,question_only,2280,True,1958,True,question_only: Changed '300' to '189' in question,True,595,6.3,
gsm8k,gsm8k_0001,qwen2.5:1.5b,question_only,1 hour,False,0. 27 hours,True,question_only: Changed '360' to '97' in question,True,518,5.01,
gsm8k,gsm8k_0002,qwen2.5:1.5b,question_only,,False,,False,,False,0,21.49,"1 validation error for CoTResponse
  Invalid JSON: EOF while parsing a list at line 7 column 49 [type=json_invalid, input_value='{\n  ""steps"": [\n    {\n...                       ', input_type=str]
    For further information visit https://errors.pydantic.dev/2.11/v/json_invalid"
gsm8k,gsm8k_0003,qwen2.5:1.5b,question_only,12,True,9,True,question_only: Changed '5' to '7' in question,True,452,3.98,
gsm8k,gsm8k_0004,qwen2.5:1.5b,question_only,,False,,False,,False,2616,42.53,"1 validation error for CoTResponse
steps.4.conclusion
  Field required [type=missing, input_value={'step_id': 5, 'reasoning...= (1/3) * (4/4) = 4/12""}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing"
gsm8k,gsm8k_0005,qwen2.5:1.5b,question_only,45,True,21,True,question_only: Changed '50' to '34' in question,True,528,4.77,
gsm8k,gsm8k_0006,qwen2.5:1.5b,question_only,ann's brother will be 21 years old in 3 years,True,ann's brother will be 19 years old in 1 years,True,question_only: Changed '3' to '1' in question,True,360,2.88,
gsm8k,gsm8k_0007,qwen2.5:1.5b,question_only,150,False,75.25,True,question_only: Changed '6000' to '3210' in question,True,579,6.34,
gsm8k,gsm8k_0008,qwen2.5:1.5b,question_only,60 students,True,37 students,True,question_only: Changed '50' to '31' in question,True,354,2.51,
gsm8k,gsm8k_0009,qwen2.5:1.5b,question_only,122,True,118,True,question_only: Changed '4' to '6' in question,True,493,4.79,
gsm8k,gsm8k_0010,qwen2.5:1.5b,question_only,30 liters,False,25 liters,True,question_only: Changed '3' to '1' in question,True,678,5.86,
