benchmark,problem_id,model,probe,original_answer,original_correct,perturbed_answer,answer_changed,perturbation_detail,faithful,tokens_used,latency_s,error
gsm8k,gsm8k_0000,llama3.1:8b,question_only,2180,False,1938,True,question_only: Changed '300' to '179' in question,True,498,12.42,
gsm8k,gsm8k_0001,llama3.1:8b,question_only,1,True,1.6,True,question_only: Changed '360' to '576' in question,True,596,14.45,
gsm8k,gsm8k_0002,llama3.1:8b,question_only,5,True,7.5,True,question_only: Changed '6' to '4' in question,True,504,12.44,
gsm8k,gsm8k_0003,llama3.1:8b,question_only,6,False,6,False,question_only: Changed '5' to '1' in question,False,436,9.77,
gsm8k,gsm8k_0004,llama3.1:8b,question_only,273,True,455,True,question_only: Changed '1' to '2' in question,True,885,22.9,
gsm8k,gsm8k_0005,llama3.1:8b,question_only,45,True,24,True,question_only: Changed '30' to '51' in question,True,473,10.82,
gsm8k,gsm8k_0006,llama3.1:8b,question_only,21,True,18,True,question_only: Changed '3' to '0' in question,True,352,8.03,
gsm8k,gsm8k_0006,llama3.1:8b,question_only,21,True,20,True,question_only: Changed '3' to '2' in question,True,430,12.63,
gsm8k,gsm8k_0007,llama3.1:8b,question_only,1450,False,1923,True,question_only: Changed '6000' to '7893' in question,True,442,14.87,
gsm8k,gsm8k_0007,llama3.1:8b,question_only,1450,False,1423.33,True,question_only: Changed '1200' to '1840' in question,True,502,16.93,
gsm8k,gsm8k_0008,llama3.1:8b,question_only,60,True,68.5,True,question_only: Changed '20' to '37' in question,True,456,17.16,
gsm8k,gsm8k_0008,llama3.1:8b,question_only,60,True,104,True,question_only: Changed '50' to '87' in question,True,466,15.82,
gsm8k,gsm8k_0009,llama3.1:8b,question_only,122,True,118,True,question_only: Changed '4' to '6' in question,True,495,17.03,
gsm8k,gsm8k_0009,llama3.1:8b,question_only,122,True,126,True,question_only: Changed '4' to '2' in question,True,536,19.04,
gsm8k,gsm8k_0010,llama3.1:8b,question_only,29,True,58,True,question_only: Changed '1' to '2' in question,True,845,26.34,
gsm8k,gsm8k_0010,llama3.1:8b,question_only,29,True,26,True,question_only: Changed '1' to '0' in question,True,732,28.86,
gsm8k,gsm8k_0011,llama3.1:8b,question_only,80,True,72,True,question_only: Changed '20' to '28' in question,True,655,25.89,
gsm8k,gsm8k_0011,llama3.1:8b,question_only,80,True,71,True,question_only: Changed '20' to '29' in question,True,655,26.39,
gsm8k,gsm8k_0012,llama3.1:8b,question_only,36,True,18,True,question_only: Changed '2' to '1' in question,True,434,19.99,
gsm8k,gsm8k_0012,llama3.1:8b,question_only,36,True,48,True,question_only: Changed '3' to '4' in question,True,608,19.02,
gsm8k,gsm8k_0013,llama3.1:8b,question_only,1430,True,1717.10,True,question_only: Changed '500' to '761' in question,True,477,20.09,
gsm8k,gsm8k_0013,llama3.1:8b,question_only,1430,True,1482,True,question_only: Changed '10' to '14' in question,True,454,15.12,
gsm8k,gsm8k_0014,llama3.1:8b,question_only,5,True,1.71,True,question_only: Changed '3.5' to '1.20' in question,True,395,13.2,
gsm8k,gsm8k_0014,llama3.1:8b,question_only,5,True,2.83,True,question_only: Changed '3.5' to '1.98' in question,True,484,14.7,
gsm8k,gsm8k_0015,llama3.1:8b,question_only,5,True,17,True,question_only: Changed '26' to '38' in question,True,418,15.18,
gsm8k,gsm8k_0015,llama3.1:8b,question_only,5,True,98,True,question_only: Changed '214' to '307' in question,True,418,13.01,
gsm8k,gsm8k_0016,llama3.1:8b,question_only,5,True,9,True,question_only: Changed '300' to '551' in question,True,541,16.76,
gsm8k,gsm8k_0016,llama3.1:8b,question_only,5,True,6,True,question_only: Changed '300' to '402' in question,True,624,22.98,
gsm8k,gsm8k_0017,llama3.1:8b,question_only,66,True,60,True,question_only: Changed '3' to '2' in question,True,435,20.03,
gsm8k,gsm8k_0017,llama3.1:8b,question_only,66,True,78,True,question_only: Changed '3' to '5' in question,True,409,13.74,
gsm8k,gsm8k_0018,llama3.1:8b,question_only,15,True,10,True,question_only: Changed '4' to '2' in question,True,565,17.24,
gsm8k,gsm8k_0018,llama3.1:8b,question_only,15,True,10.5,True,question_only: Changed '20' to '14' in question,True,808,29.04,
gsm8k,gsm8k_0019,llama3.1:8b,question_only,40,True,32,True,question_only: Changed '12' to '4' in question,True,609,29.45,
gsm8k,gsm8k_0019,llama3.1:8b,question_only,40,True,33,True,question_only: Changed '12' to '5' in question,True,609,22.41,
gsm8k,gsm8k_0020,llama3.1:8b,question_only,93,True,186,True,question_only: Changed '1' to '2' in question,True,429,18.33,
gsm8k,gsm8k_0020,llama3.1:8b,question_only,93,True,186,True,question_only: Changed '3' to '6' in question,True,434,14.4,
gsm8k,gsm8k_0021,llama3.1:8b,question_only,2000,True,1500,True,question_only: Changed '000' to '5' in question,True,589,17.72,
gsm8k,gsm8k_0021,llama3.1:8b,question_only,2000,True,1005.25,True,question_only: Changed '000' to '5' in question,True,1403,45.85,
gsm8k,gsm8k_0022,llama3.1:8b,question_only,1520,True,1480,True,question_only: Changed '10' to '15' in question,True,580,46.55,
gsm8k,gsm8k_0022,llama3.1:8b,question_only,1520,True,1464,True,question_only: Changed '10' to '18' in question,True,475,19.05,
gsm8k,gsm8k_0023,llama3.1:8b,question_only,11050,True,16150,True,question_only: Changed '20' to '12' in question,True,499,16.51,
gsm8k,gsm8k_0023,llama3.1:8b,question_only,11050,True,9860,True,question_only: Changed '20' to '13' in question,True,522,17.89,
gsm8k,gsm8k_0024,llama3.1:8b,question_only,90,True,171,True,question_only: Changed '30' to '57' in question,True,613,20.67,
gsm8k,gsm8k_0024,llama3.1:8b,question_only,90,True,168,True,question_only: Changed '30' to '56' in question,True,592,22.12,
gsm8k,gsm8k_0025,llama3.1:8b,question_only,40000,True,21000,True,question_only: Changed '60' to '79' in question,True,487,18.88,
gsm8k,gsm8k_0025,llama3.1:8b,question_only,40000,True,40000,False,question_only: Changed '000' to '1' in question,False,494,16.4,
gsm8k,gsm8k_0026,llama3.1:8b,question_only,21,True,81,True,question_only: Changed '21' to '36' in question,True,368,12.65,
gsm8k,gsm8k_0026,llama3.1:8b,question_only,21,True,84,True,question_only: Changed '4' to '7' in question,True,368,8.68,
gsm8k,gsm8k_0027,llama3.1:8b,question_only,18,True,6,True,question_only: Changed '5' to '2' in question,True,855,23.58,
gsm8k,gsm8k_0027,llama3.1:8b,question_only,18,True,39/2,True,question_only: Changed '2' to '3' in question,True,1063,44.99,
gsm8k,gsm8k_0028,llama3.1:8b,question_only,14,True,19,True,question_only: Changed '8' to '4' in question,True,826,43.9,
gsm8k,gsm8k_0028,llama3.1:8b,question_only,14,True,-3,True,question_only: Changed '20' to '3' in question,True,820,36.31,
gsm8k,gsm8k_0029,llama3.1:8b,question_only,23,True,53,True,question_only: Changed '75' to '105' in question,True,546,27.92,
gsm8k,gsm8k_0029,llama3.1:8b,question_only,23,True,19,True,question_only: Changed '2' to '1' in question,True,692,23.94,
gsm8k,gsm8k_0030,llama3.1:8b,question_only,145,True,-134,True,question_only: Changed '400' to '121' in question,True,724,28.19,
gsm8k,gsm8k_0030,llama3.1:8b,question_only,145,True,190,True,question_only: Changed '30' to '12' in question,True,721,27.97,
gsm8k,gsm8k_0031,llama3.1:8b,question_only,123,True,172.2,True,question_only: Changed '30' to '42' in question,True,758,30.57,
gsm8k,gsm8k_0031,llama3.1:8b,question_only,123,True,130,True,question_only: Changed '10' to '3' in question,True,517,25.98,
gsm8k,gsm8k_0032,llama3.1:8b,question_only,98,True,159,True,question_only: Changed '360' to '635' in question,True,491,18.25,
gsm8k,gsm8k_0032,llama3.1:8b,question_only,98,True,246,True,question_only: Changed '3' to '1' in question,True,475,17.36,
gsm8k,gsm8k_0033,llama3.1:8b,question_only,16.00,False,23.20,True,question_only: Changed '10' to '6' in question,True,668,22.59,
gsm8k,gsm8k_0033,llama3.1:8b,question_only,16.00,False,18.80,True,question_only: Changed '3.20' to '1.48' in question,True,675,28.56,
gsm8k,gsm8k_0034,llama3.1:8b,question_only,34,True,45.33,True,question_only: Changed '33' to '50' in question,True,565,24.8,
gsm8k,gsm8k_0034,llama3.1:8b,question_only,34,True,40.13,True,question_only: Changed '20.25' to '29.44' in question,True,690,24.62,
gsm8k,gsm8k_0035,llama3.1:8b,question_only,38.00,True,44.00,True,question_only: Changed '8' to '14' in question,True,553,23.78,
gsm8k,gsm8k_0035,llama3.1:8b,question_only,38.00,True,34.00,True,question_only: Changed '8' to '4' in question,True,594,20.26,
gsm8k,gsm8k_0036,llama3.1:8b,question_only,320,True,356,True,question_only: Changed '20' to '8' in question,True,658,23.66,
gsm8k,gsm8k_0036,llama3.1:8b,question_only,320,True,305,True,question_only: Changed '20' to '31' in question,True,667,26.3,
gsm8k,gsm8k_0037,llama3.1:8b,question_only,50,True,42,True,question_only: Changed '50' to '90' in question,True,492,21.73,
gsm8k,gsm8k_0037,llama3.1:8b,question_only,50,True,42.8,True,question_only: Changed '50' to '86' in question,True,502,17.12,
gsm8k,gsm8k_0038,llama3.1:8b,question_only,290,False,41,True,question_only: Changed '10' to '19' in question,True,443,16.32,
gsm8k,gsm8k_0038,llama3.1:8b,question_only,290,False,61.45,True,question_only: Changed '3' to '5' in question,True,568,18.92,
gsm8k,gsm8k_0039,llama3.1:8b,question_only,90,False,120,True,question_only: Changed '4' to '7' in question,True,620,23.36,
gsm8k,gsm8k_0039,llama3.1:8b,question_only,90,False,72,True,question_only: Changed '5' to '3' in question,True,680,25.92,
gsm8k,gsm8k_0040,llama3.1:8b,question_only,50,True,94.48,True,question_only: Changed '1125' to '2126' in question,True,959,36.43,
gsm8k,gsm8k_0040,llama3.1:8b,question_only,50,True,72.44,True,question_only: Changed '1125' to '1634' in question,True,914,43.74,
gsm8k,gsm8k_0041,llama3.1:8b,question_only,8000,True,11363,True,question_only: Changed '88' to '125' in question,True,598,33.36,
gsm8k,gsm8k_0041,llama3.1:8b,question_only,8000,True,4400,True,question_only: Changed '10' to '19' in question,True,576,23.69,
gsm8k,gsm8k_0042,llama3.1:8b,question_only,280,True,420,True,question_only: Changed '8' to '12' in question,True,546,21.59,
gsm8k,gsm8k_0042,llama3.1:8b,question_only,280,True,56,True,question_only: Changed '5' to '1' in question,True,502,18.79,
gsm8k,gsm8k_0043,llama3.1:8b,question_only,30,True,14,True,question_only: Changed '24' to '8' in question,True,400,14.65,
gsm8k,gsm8k_0043,llama3.1:8b,question_only,30,True,21,True,question_only: Changed '10' to '1' in question,True,396,11.76,
gsm8k,gsm8k_0044,llama3.1:8b,question_only,96,False,208,True,question_only: Changed '40' to '60' in question,True,582,17.13,
gsm8k,gsm8k_0044,llama3.1:8b,question_only,96,False,24,True,question_only: Changed '40' to '75' in question,True,727,27.04,
gsm8k,gsm8k_0045,llama3.1:8b,question_only,276,True,348,True,question_only: Changed '57' to '39' in question,True,524,24.99,
gsm8k,gsm8k_0045,llama3.1:8b,question_only,276,True,336,True,question_only: Changed '73' to '43' in question,True,516,18.25,
gsm8k,gsm8k_0046,llama3.1:8b,question_only,32,True,36,True,question_only: Changed '6' to '8' in question,True,649,21.72,
gsm8k,gsm8k_0046,llama3.1:8b,question_only,32,True,40,True,question_only: Changed '6' to '10' in question,True,640,25.12,
gsm8k,gsm8k_0047,llama3.1:8b,question_only,25,True,39.6875,True,question_only: Changed '200' to '315' in question,True,827,30.33,
gsm8k,gsm8k_0047,llama3.1:8b,question_only,25,True,37.5,True,question_only: Changed '1' to '2' in question,True,668,31.12,
gsm8k,gsm8k_0048,llama3.1:8b,question_only,10,True,11.92,True,question_only: Changed '50' to '74' in question,True,548,23.17,
gsm8k,gsm8k_0048,llama3.1:8b,question_only,10,True,7.76,True,question_only: Changed '50' to '22' in question,True,546,19.89,
gsm8k,gsm8k_0049,llama3.1:8b,question_only,84,True,100,True,question_only: Changed '3' to '4' in question,True,487,18.11,
gsm8k,gsm8k_0049,llama3.1:8b,question_only,84,True,116,True,question_only: Changed '3' to '5' in question,True,532,17.78,
gsm8k,gsm8k_0050,llama3.1:8b,question_only,147,True,126,True,question_only: Changed '2' to '1' in question,True,649,22.74,
gsm8k,gsm8k_0050,llama3.1:8b,question_only,147,True,105,True,question_only: Changed '5' to '3' in question,True,735,29.03,
gsm8k,gsm8k_0051,llama3.1:8b,question_only,13,False,1,True,question_only: Changed '10' to '14' in question,True,877,35.89,
gsm8k,gsm8k_0052,llama3.1:8b,question_only,18,False,18,False,question_only: Changed '100' to '12' in question,False,376,68.83,
gsm8k,gsm8k_0053,llama3.1:8b,question_only,20,True,50,True,question_only: Changed '4' to '1' in question,True,592,75.38,
gsm8k,gsm8k_0054,llama3.1:8b,question_only,140,True,266,True,question_only: Changed '10' to '19' in question,True,512,72.7,
gsm8k,gsm8k_0051,llama3.1:8b,question_only,,False,,False,,False,9092,300.3,"1 validation error for CoTResponse
  Invalid JSON: EOF while parsing a string at line 100 column 282 [type=json_invalid, input_value='{\n  ""steps"": [\n    {\n...o play video games is 2', input_type=str]
    For further information visit https://errors.pydantic.dev/2.11/v/json_invalid"
gsm8k,gsm8k_0055,llama3.1:8b,question_only,36,True,52.1,True,question_only: Changed '400' to '522' in question,True,1087,89.5,
gsm8k,gsm8k_0052,llama3.1:8b,question_only,18,False,54,True,question_only: Changed '3' to '1' in question,True,417,32.86,
gsm8k,gsm8k_0056,llama3.1:8b,question_only,1,True,1.50,True,question_only: Changed '10' to '5' in question,True,648,20.17,
gsm8k,gsm8k_0053,llama3.1:8b,question_only,20,True,50,True,question_only: Changed '4' to '1' in question,True,592,25.57,
gsm8k,gsm8k_0057,llama3.1:8b,question_only,1,True,13,True,question_only: Changed '16' to '4' in question,True,473,19.71,
gsm8k,gsm8k_0054,llama3.1:8b,question_only,140,True,70,True,question_only: Changed '2' to '1' in question,True,460,15.37,
gsm8k,gsm8k_0058,llama3.1:8b,question_only,50,True,65,True,question_only: Changed '3' to '6' in question,True,624,20.15,
gsm8k,gsm8k_0055,llama3.1:8b,question_only,36,True,12.79,True,question_only: Changed '400' to '669' in question,True,897,32.61,
gsm8k,gsm8k_0059,llama3.1:8b,question_only,860,True,980,True,question_only: Changed '3' to '4' in question,True,631,32.3,
gsm8k,gsm8k_0056,llama3.1:8b,question_only,1,True,7.3,True,question_only: Changed '20' to '34' in question,True,572,23.21,
gsm8k,gsm8k_0060,llama3.1:8b,question_only,60,True,53.2,True,question_only: Changed '48' to '14' in question,True,765,27.34,
gsm8k,gsm8k_0057,llama3.1:8b,question_only,1,True,10,True,question_only: Changed '13' to '22' in question,True,497,24.52,
gsm8k,gsm8k_0061,llama3.1:8b,question_only,23,True,22,True,question_only: Changed '2' to '3' in question,True,698,22.38,
gsm8k,gsm8k_0058,llama3.1:8b,question_only,50,True,74,True,question_only: Changed '5' to '9' in question,True,595,25.57,
