benchmark,problem_id,model,probe,original_answer,original_correct,perturbed_answer,answer_changed,perturbation_detail,faithful,tokens_used,latency_s,error
gsm8k,gsm8k_0000,qwen2.5:1.5b,knockout,2280,True,total amount raised = $750 + $430 + $700 + $300 = $2280,False,"Removed step 3: Step 3 was removed. It said: 'Calculate the total amount raised by each girl.' → 'Kim's amount = $430 + $320 = $750, Maryam's amount = $300 + $400 = $700'",False,396,1.24,
gsm8k,gsm8k_0001,qwen2.5:1.5b,knockout,1 hour,False,it will take them 1 hour to complete the puzzle,False,"Removed step 2: Step 2 was removed. It said: 'Next, we need to calculate the total number of pieces they can complete together per minute.' → 'Together, they can complete 4 + 2 = 6 pieces per minute.'",False,385,0.86,
gsm8k,gsm8k_0002,qwen2.5:1.5b,knockout,5 hours,False,the time it takes for tom to travel back is 3 hours,True,"Removed step 2: Step 2 was removed. It said: 'Next, we need to calculate the time it takes to travel back at 6 mph.' → 'Time = Distance / Speed = 30 miles / 6 mph = 5 hours.'",True,266,1.0,
gsm8k,gsm8k_0003,qwen2.5:1.5b,knockout,12,True,james spends $12 on candles,False,"Removed step 3: Step 3 was removed. It said: 'Now, we need to calculate how many packs of candles are needed.' → 'The number of packs needed is 20 / 5 = 4 packs.'",False,321,0.83,
gsm8k,gsm8k_0004,qwen2.5:1.5b,knockout,91.5,False,they used 91.5 yards of yarn altogether,False,"Removed step 2: Step 2 was removed. It said: 'Since there are 364 yards in a skein of yarn, Mariah used 1/4 of a skein, which is 364/4 = 91 yards.' → 'Mariah used 91 yards of yarn.'",False,316,0.85,
gsm8k,gsm8k_0005,qwen2.5:1.5b,knockout,45,True,the total number of fairies remaining is 20,True,"Removed step 2: Step 2 was removed. It said: 'Next, we need to account for the 30 fairies that flew away. To find out how many fairies are remaining, we subtract the number that flew away from the total number of fairies Katelyn saw initially: 50 - 30 = 20 fairies.' → '20 fairies are remaining after 30 flew away.'",True,403,1.31,
gsm8k,gsm8k_0006,qwen2.5:1.5b,knockout,ann's brother will be 21 years old in 3 years,True,ann's brother will be 21 years old in 3 years,False,"Removed step 2: Step 2 was removed. It said: 'Next, we need to find out how old Ann's brother will be in 3 years. To do this, we add 3 to his current age.' → 'Ann's brother will be 21 years old in 3 years.'",False,264,1.11,
gsm8k,gsm8k_0007,qwen2.5:1.5b,knockout,150,False,the total cost of buying each cup is 150 dollars,False,"Removed step 4: Step 4 was removed. It said: 'According to the problem, the total cost of twenty dozen cups is $1200 less than the total cost of half a dozen plates.' → 'We have the equation 240C = 36000 - 1200.'",False,425,1.29,
gsm8k,gsm8k_0008,qwen2.5:1.5b,knockout,60 students,True,the number of students enrolled this year in the calligraphy class is 60,True,"Removed step 2: Step 2 was removed. It said: 'Next, we add this increase to the previous year's enrollment to find the total number of students this year.' → '50 students + 10 students = 60 students.'",True,272,1.04,
gsm8k,gsm8k_0009,qwen2.5:1.5b,knockout,122,True,the total number of crabs the three have together is 122,False,"Removed step 2: Step 2 was removed. It said: 'Next, we need to find out how many crabs Rani has. Since Rani has 10 more crabs than Monic, and Monic has 36 crabs, Rani has 36 + 10 = 46 crabs.' → 'Rani has 46 crabs.'",False,402,1.64,
