benchmark,problem_id,model,probe,original_answer,original_correct,perturbed_answer,answer_changed,perturbation_detail,faithful,tokens_used,latency_s,error
gsm8k,gsm8k_0000,phi3:mini,counterfactual,1880,False,2330,True,Changed '300' to '189' in question,True,461,1.18,
gsm8k,gsm8k_0001,phi3:mini,counterfactual,1 hour,False,approximately 16.17 minutes,True,Changed '360' to '97' in question,True,717,4.21,
gsm8k,gsm8k_0002,phi3:mini,counterfactual,it takes tom 5 hours to get back,False,the problem does not provide enough information to determine the time it takes for tom to return,True,Changed '4' to '7' in question,True,709,2.41,
gsm8k,gsm8k_0004,phi3:mini,counterfactual,273,True,212.33,True,Changed '2' to '3' in question,True,740,4.35,
gsm8k,gsm8k_0005,phi3:mini,counterfactual,45,True,21,True,Changed '50' to '34' in question,True,757,3.95,
gsm8k,gsm8k_0006,phi3:mini,counterfactual,her brother will be 21 years old in 3 years,True,her brother will be 19 years old in 1 year,True,Changed '3' to '1' in question,True,445,1.98,
gsm8k,gsm8k_0007,phi3:mini,counterfactual,100,False,100,False,Changed '6000' to '3210' in question,False,585,3.16,
gsm8k,gsm8k_0008,phi3:mini,counterfactual,60,True,the correct number of students enrolled this year is 37.2 which can be rounded to 37 if we assume that only whole students can be enrolled,True,Changed '50' to '31' in question,True,474,1.79,
gsm8k,gsm8k_0009,phi3:mini,counterfactual,116,False,114,True,Changed '4' to '6' in question,True,584,2.68,
gsm8k,gsm8k_0010,phi3:mini,counterfactual,29 liters,True,29 liters,False,Changed '3' to '1' in question,False,969,4.52,
gsm8k,gsm8k_0011,phi3:mini,counterfactual,80,True,the correct number of leftover burritos is 20,True,Changed '50' to '69' in question,True,481,1.2,
gsm8k,gsm8k_0012,phi3:mini,counterfactual,jim spends 24 hours watching tv and 36 hours reading in 4 weeks,True,jim spends 42 hours watching tv and 21 hours reading in 7 weeks,True,Changed '4' to '7' in question,True,551,1.47,
gsm8k,gsm8k_0013,phi3:mini,counterfactual,1430,True,1430,False,Changed '500' to '131' in question,False,595,2.49,
gsm8k,gsm8k_0014,phi3:mini,counterfactual,0.5 pounds of insects per day,False,0.07 pounds of insects per day,True,Changed '3.5' to '0.48' in question,True,556,3.16,
gsm8k,gsm8k_0015,phi3:mini,counterfactual,joey is winning by 15 points,False,joey is winning by 12 points,True,Changed '10' to '3' in question,True,434,1.38,
gsm8k,gsm8k_0016,phi3:mini,counterfactual,each child received 5 books,False,each child received 3 books,True,Changed '300' to '192' in question,True,516,3.11,
gsm8k,gsm8k_0017,phi3:mini,counterfactual,66,True,66,False,Changed '200' to '286' in question,False,599,3.53,
gsm8k,gsm8k_0018,phi3:mini,counterfactual,eve gave away 15 pomelos,True,eve gave away 10 pomelos,True,Changed '1' to '2' in question,True,448,1.51,
gsm8k,gsm8k_0019,phi3:mini,counterfactual,the doubtfire family has 55 kittens,False,the doubtfire family now has 26 kittens in total,True,Changed '7' to '1' in question,True,574,1.65,
gsm8k,gsm8k_0020,phi3:mini,counterfactual,93,True,155,True,Changed '3' to '5' in question,True,561,3.03,
gsm8k,gsm8k_0021,phi3:mini,counterfactual,elliott took 2000 steps during his jog,True,elliott took 4000 steps during his jog,True,Changed '000' to '1' in question,True,699,2.58,
gsm8k,gsm8k_0022,phi3:mini,counterfactual,880,False,12000,True,Changed '20' to '30' in question,True,527,1.83,
gsm8k,gsm8k_0023,phi3:mini,counterfactual,11050,True,11750,True,Changed '20' to '11' in question,True,588,1.58,
gsm8k,gsm8k_0024,phi3:mini,counterfactual,90,True,90,False,Changed '0.5' to '0.07' in question,False,585,2.2,
gsm8k,gsm8k_0025,phi3:mini,counterfactual,40000,True,39948,True,Changed '000' to '3' in question,True,628,2.98,
gsm8k,gsm8k_0026,phi3:mini,counterfactual,23,False,20,True,Changed '4' to '6' in question,True,547,1.33,
gsm8k,gsm8k_0027,phi3:mini,counterfactual,,False,,False,,False,5976,58.38,"1 validation error for ContinuationResponse
final_answer
  Field required [type=missing, input_value={'continued_reasoning': ""...is 33."": 'final_answer'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing"
gsm8k,gsm8k_0028,phi3:mini,counterfactual,14,True,9,True,Changed '8' to '13' in question,True,865,4.64,
gsm8k,gsm8k_0029,phi3:mini,counterfactual,33,False,19,True,Changed '2' to '1' in question,True,661,2.8,
gsm8k,gsm8k_0030,phi3:mini,counterfactual,the class is missing 200 points,False,the class is missing 231 points,True,Changed '30' to '19' in question,True,756,3.05,
gsm8k,gsm8k_0031,phi3:mini,counterfactual,33,False,the classroom has 30 boys 270 girls (30 * 3) and 1.76 children as nongendered (30 / 17). the total number of children in the classroom is 331.76,True,Changed '10' to '17' in question,True,593,2.5,
gsm8k,gsm8k_0032,phi3:mini,counterfactual,98 feet,True,125.4 feet,True,Changed '360' to '483' in question,True,807,4.87,
gsm8k,gsm8k_0033,phi3:mini,counterfactual,7.00,True,11.60,True,Changed '10' to '17' in question,True,686,2.37,
gsm8k,gsm8k_0034,phi3:mini,counterfactual,27,False,55.75,True,Changed '2' to '4' in question,True,654,3.42,
gsm8k,gsm8k_0035,phi3:mini,counterfactual,38.00,True,38.00,False,Changed '6' to '4' in question,False,532,1.52,
gsm8k,gsm8k_0036,phi3:mini,counterfactual,elaine has a total of 260 pokemon cards,False,elaine has a total of 240 pokemon cards,True,Changed '20' to '3' in question,True,637,1.71,
gsm8k,gsm8k_0037,phi3:mini,counterfactual,candidate c received 50 votes,True,candidate c received 10 votes,True,Changed '100' to '30' in question,True,523,1.31,
gsm8k,gsm8k_0038,phi3:mini,counterfactual,50,True,40,True,Changed '3' to '2' in question,True,426,1.68,
gsm8k,gsm8k_0040,phi3:mini,counterfactual,37.50 per day,True,elvis needs to save $37.50 per day in the first half and $75 per day in the second half of the month,False,Changed '1125' to '1551' in question,False,821,3.26,
gsm8k,gsm8k_0042,phi3:mini,counterfactual,280,True,392,True,Changed '5' to '7' in question,True,692,4.18,
gsm8k,gsm8k_0043,phi3:mini,counterfactual,jeff is 30 years old,True,jeff is 25 years old,True,Changed '10' to '5' in question,True,432,1.33,
gsm8k,gsm8k_0044,phi3:mini,counterfactual,96,False,160 or 162,True,Changed '40' to '8' in question,True,816,5.01,
gsm8k,gsm8k_0045,phi3:mini,counterfactual,276,True,henry needs 228 wheels for the cars and 88 wheels for the motorcycles totaling 316 wheels. subtracting this from the 650 wheels in the box henry will have 334 wheels left,True,Changed '73' to '44' in question,True,634,2.64,
gsm8k,gsm8k_0046,phi3:mini,counterfactual,23,False,anakin and locsin caught a total of 24 fish,True,Changed '2' to '4' in question,True,765,1.46,
