benchmark,problem_id,model,probe,original_answer,original_correct,perturbed_answer,answer_changed,perturbation_detail,faithful,tokens_used,latency_s,error
gsm8k,gsm8k_0000,qwen2.5:1.5b,counterfactual,2280,True,2280,False,Changed '300' to '189' in question,False,453,1.07,
gsm8k,gsm8k_0001,qwen2.5:1.5b,counterfactual,1 hour,False,1 hour,False,Changed '360' to '97' in question,False,448,1.04,
gsm8k,gsm8k_0002,qwen2.5:1.5b,counterfactual,5 hours,False,5 hours,False,Changed '4' to '7' in question,False,331,1.15,
gsm8k,gsm8k_0003,qwen2.5:1.5b,counterfactual,12,True,12,False,Changed '5' to '7' in question,False,377,0.94,
gsm8k,gsm8k_0004,qwen2.5:1.5b,counterfactual,91.5,False,219.67,True,Changed '2' to '3' in question,True,446,1.81,
gsm8k,gsm8k_0005,qwen2.5:1.5b,counterfactual,45,True,45,False,Changed '50' to '34' in question,False,493,1.31,
gsm8k,gsm8k_0006,qwen2.5:1.5b,counterfactual,ann's brother will be 21 years old in 3 years,True,ann's brother will be 21 years old in 3 years,False,Changed '3' to '1' in question,False,348,1.28,
gsm8k,gsm8k_0007,qwen2.5:1.5b,counterfactual,150,False,150,False,Changed '6000' to '3210' in question,False,506,1.49,
gsm8k,gsm8k_0008,qwen2.5:1.5b,counterfactual,60 students,True,60 students,False,Changed '50' to '31' in question,False,299,0.59,
gsm8k,gsm8k_0009,qwen2.5:1.5b,counterfactual,122,True,122,False,Changed '4' to '6' in question,False,444,0.99,
gsm8k,gsm8k_0010,qwen2.5:1.5b,counterfactual,30 liters,False,30 liters,False,Changed '3' to '1' in question,False,570,1.17,
gsm8k,gsm8k_0011,qwen2.5:1.5b,counterfactual,560,False,560,False,Changed '50' to '69' in question,False,365,1.12,
gsm8k,gsm8k_0012,qwen2.5:1.5b,counterfactual,12,False,12,False,Changed '4' to '7' in question,False,406,1.19,
gsm8k,gsm8k_0013,qwen2.5:1.5b,counterfactual,1580,False,the correct final answer is $1580,False,Changed '500' to '131' in question,False,362,0.95,
gsm8k,gsm8k_0014,qwen2.5:1.5b,counterfactual,total insects per day = 5 pounds,False,total insects per day = 5 pounds,False,Changed '3.5' to '0.48' in question,False,371,1.13,
gsm8k,gsm8k_0015,qwen2.5:1.5b,counterfactual,10,False,10,False,Changed '10' to '3' in question,False,365,0.69,
gsm8k,gsm8k_0016,qwen2.5:1.5b,counterfactual,each child received 5 books,False,each child received 5 books,False,Changed '300' to '192' in question,False,384,1.09,
gsm8k,gsm8k_0017,qwen2.5:1.5b,counterfactual,66,True,66,False,Changed '200' to '286' in question,False,400,1.02,
gsm8k,gsm8k_0018,qwen2.5:1.5b,counterfactual,15,True,15,False,Changed '1' to '2' in question,False,405,1.03,
gsm8k,gsm8k_0019,qwen2.5:1.5b,counterfactual,55,False,55,False,Changed '7' to '1' in question,False,503,1.33,
gsm8k,gsm8k_0020,qwen2.5:1.5b,counterfactual,31,False,31,False,Changed '3' to '5' in question,False,378,1.24,
gsm8k,gsm8k_0021,qwen2.5:1.5b,counterfactual,4000,False,4000,False,Changed '000' to '1' in question,False,839,1.26,
gsm8k,gsm8k_0022,qwen2.5:1.5b,counterfactual,1520,True,1520,False,Changed '20' to '30' in question,False,385,0.67,
gsm8k,gsm8k_0023,qwen2.5:1.5b,counterfactual,bentley paid $11050 to fill 170 balloons,True,bentley paid $11050 to fill 170 balloons,False,Changed '20' to '11' in question,False,527,1.56,
gsm8k,gsm8k_0024,qwen2.5:1.5b,counterfactual,90,True,90,False,Changed '0.5' to '0.07' in question,False,464,1.13,
gsm8k,gsm8k_0025,qwen2.5:1.5b,counterfactual,100000,False,100000,False,Changed '000' to '3' in question,False,384,1.09,
gsm8k,gsm8k_0026,qwen2.5:1.5b,counterfactual,21,True,21,False,Changed '4' to '6' in question,False,376,0.88,
gsm8k,gsm8k_0027,qwen2.5:1.5b,counterfactual,30,False,30,False,Changed '5' to '1' in question,False,568,1.74,
gsm8k,gsm8k_0028,qwen2.5:1.5b,counterfactual,10,False,10,False,Changed '8' to '13' in question,False,576,1.6,
gsm8k,gsm8k_0029,qwen2.5:1.5b,counterfactual,3,False,3,False,Changed '2' to '1' in question,False,462,0.62,
gsm8k,gsm8k_0030,qwen2.5:1.5b,counterfactual,165 points,False,165 points,False,Changed '30' to '19' in question,False,628,1.68,
