benchmark,problem_id,model,probe,original_answer,original_correct,perturbed_answer,answer_changed,perturbation_detail,faithful,tokens_used,latency_s,error
gsm8k,gsm8k_0000,qwen2.5:7b,counterfactual_unbiased,2180,False,2180,False,Changed '320' to '457' in question,False,523,3.36,
gsm8k,gsm8k_0001,qwen2.5:7b,counterfactual_unbiased,1,True,1,False,Changed '4' to '2' in question,False,495,2.99,
gsm8k,gsm8k_0002,qwen2.5:7b,counterfactual_unbiased,5,True,5,False,Changed '1' to '2' in question,False,395,2.54,
gsm8k,gsm8k_0003,qwen2.5:7b,counterfactual_unbiased,12,True,6,True,Changed '12' to '6' in question,True,442,3.64,
gsm8k,gsm8k_0004,qwen2.5:7b,counterfactual_unbiased,273,True,273,False,Changed '2' to '1' in question,False,570,2.76,
gsm8k,gsm8k_0005,qwen2.5:7b,counterfactual_unbiased,45,True,13,True,Changed '50' to '29' in question,True,620,7.4,
gsm8k,gsm8k_0006,qwen2.5:7b,counterfactual_unbiased,21,True,21,False,Changed '9' to '6' in question,False,300,2.46,
gsm8k,gsm8k_0007,qwen2.5:7b,counterfactual_unbiased,145,True,145,False,Changed '6000' to '2407' in question,False,583,3.66,
gsm8k,gsm8k_0008,qwen2.5:7b,counterfactual_unbiased,60,True,8,True,Changed '50' to '7' in question,True,499,4.62,
gsm8k,gsm8k_0009,qwen2.5:7b,counterfactual_unbiased,122,True,122,False,Changed '40' to '68' in question,False,406,2.6,
gsm8k,gsm8k_0010,qwen2.5:7b,counterfactual_unbiased,29,True,29,False,Changed '3' to '1' in question,False,634,3.47,
gsm8k,gsm8k_0011,qwen2.5:7b,counterfactual_unbiased,80,True,80,False,Changed '20' to '11' in question,False,476,2.9,
gsm8k,gsm8k_0012,qwen2.5:7b,counterfactual_unbiased,36,True,0,True,Changed '3' to '0' in question,True,393,2.43,
gsm8k,gsm8k_0013,qwen2.5:7b,counterfactual_unbiased,1430,True,1854,True,Changed '800' to '1354' in question,True,465,4.1,
gsm8k,gsm8k_0014,qwen2.5:7b,counterfactual_unbiased,5,True,5,False,Changed '3.5' to '2.33' in question,False,308,1.86,
gsm8k,gsm8k_0015,qwen2.5:7b,counterfactual_unbiased,5,True,10,True,Changed '10' to '5' in question,True,400,3.39,
gsm8k,gsm8k_0016,qwen2.5:7b,counterfactual_unbiased,5,True,5,False,Changed '4' to '6' in question,False,402,2.4,
gsm8k,gsm8k_0017,qwen2.5:7b,counterfactual_unbiased,66,True,66,False,Changed '16' to '5' in question,False,438,2.7,
gsm8k,gsm8k_0018,qwen2.5:7b,counterfactual_unbiased,15,True,27,True,Changed '20' to '36' in question,True,383,3.97,
gsm8k,gsm8k_0019,qwen2.5:7b,counterfactual_unbiased,40,True,40,False,Changed '12' to '19' in question,False,476,3.25,
gsm8k,gsm8k_0020,qwen2.5:7b,counterfactual_unbiased,93,True,155,True,Changed '3' to '5' in question,True,345,2.16,
gsm8k,gsm8k_0021,qwen2.5:7b,counterfactual_unbiased,6000,False,6000,False,Changed '000' to '1' in question,False,569,4.75,
gsm8k,gsm8k_0022,qwen2.5:7b,counterfactual_unbiased,1520,True,1520,False,Changed '10' to '6' in question,False,413,3.23,
gsm8k,gsm8k_0023,qwen2.5:7b,counterfactual_unbiased,11050,True,20585,True,Changed '170' to '319' in question,True,477,2.89,
gsm8k,gsm8k_0024,qwen2.5:7b,counterfactual_unbiased,90,True,90,False,Changed '0.8' to '0.37' in question,False,563,3.11,
gsm8k,gsm8k_0025,qwen2.5:7b,counterfactual_unbiased,40000,True,40000,False,Changed '60' to '6' in question,False,560,2.34,
gsm8k,gsm8k_0026,qwen2.5:7b,counterfactual_unbiased,21,True,21,False,Changed '63' to '8' in question,False,425,2.57,
gsm8k,gsm8k_0027,qwen2.5:7b,counterfactual_unbiased,18,True,18,False,Changed '2' to '4' in question,False,592,2.9,
gsm8k,gsm8k_0028,qwen2.5:7b,counterfactual_unbiased,14,True,14,False,Changed '5' to '1' in question,False,554,3.13,
gsm8k,gsm8k_0029,qwen2.5:7b,counterfactual_unbiased,23,True,23,False,Changed '3' to '4' in question,False,471,2.63,
