benchmark,problem_id,model,probe,original_answer,original_correct,perturbed_answer,answer_changed,perturbation_detail,faithful,tokens_used,latency_s,error
gsm8k,gsm8k_0000,qwen2.5:7b,question_only,2180,False,2317,True,question_only: Changed '320' to '457' in question,True,637,12.86,
gsm8k,gsm8k_0001,qwen2.5:7b,question_only,1,True,2,True,question_only: Changed '4' to '2' in question,True,556,10.39,
gsm8k,gsm8k_0002,qwen2.5:7b,question_only,5,True,3 hours and 20 minutes,True,question_only: Changed '1' to '2' in question,True,578,11.23,
gsm8k,gsm8k_0003,qwen2.5:7b,question_only,12,True,6,True,question_only: Changed '12' to '6' in question,True,465,7.82,
gsm8k,gsm8k_0004,qwen2.5:7b,question_only,273,True,455,True,question_only: Changed '2' to '1' in question,True,616,12.03,
gsm8k,gsm8k_0005,qwen2.5:7b,question_only,45,True,13,True,question_only: Changed '50' to '29' in question,True,527,8.88,
gsm8k,gsm8k_0006,qwen2.5:7b,question_only,21,True,15,True,question_only: Changed '9' to '6' in question,True,345,4.78,
gsm8k,gsm8k_0007,qwen2.5:7b,question_only,145,True,55.18,True,question_only: Changed '6000' to '2407' in question,True,600,12.24,
gsm8k,gsm8k_0008,qwen2.5:7b,question_only,60,True,8,True,question_only: Changed '50' to '7' in question,True,440,7.25,
gsm8k,gsm8k_0009,qwen2.5:7b,question_only,122,True,142,True,question_only: Changed '40' to '68' in question,True,469,8.14,
gsm8k,gsm8k_0010,qwen2.5:7b,question_only,29,True,25,True,question_only: Changed '3' to '1' in question,True,672,10.83,
gsm8k,gsm8k_0011,qwen2.5:7b,question_only,80,True,89,True,question_only: Changed '20' to '11' in question,True,551,9.93,
gsm8k,gsm8k_0012,qwen2.5:7b,question_only,36,True,0,True,question_only: Changed '3' to '0' in question,True,458,7.64,
gsm8k,gsm8k_0013,qwen2.5:7b,question_only,1430,True,2039.4,True,question_only: Changed '800' to '1354' in question,True,510,8.81,
gsm8k,gsm8k_0014,qwen2.5:7b,question_only,5,True,3.33,True,question_only: Changed '3.5' to '2.33' in question,True,460,7.97,
gsm8k,gsm8k_0015,qwen2.5:7b,question_only,5,True,10,True,question_only: Changed '10' to '5' in question,True,439,7.06,
gsm8k,gsm8k_0016,qwen2.5:7b,question_only,5,True,3,True,question_only: Changed '4' to '6' in question,True,547,10.32,
gsm8k,gsm8k_0017,qwen2.5:7b,question_only,66,True,33,True,question_only: Changed '16' to '5' in question,True,477,8.52,
gsm8k,gsm8k_0018,qwen2.5:7b,question_only,15,True,27,True,question_only: Changed '20' to '36' in question,True,402,5.91,
gsm8k,gsm8k_0019,qwen2.5:7b,question_only,40,True,47,True,question_only: Changed '12' to '19' in question,True,541,9.13,
gsm8k,gsm8k_0020,qwen2.5:7b,question_only,93,True,155,True,question_only: Changed '3' to '5' in question,True,424,7.02,
gsm8k,gsm8k_0021,qwen2.5:7b,question_only,6000,False,1900,True,question_only: Changed '000' to '1' in question,True,578,9.99,
gsm8k,gsm8k_0022,qwen2.5:7b,question_only,1520,True,1552,True,question_only: Changed '10' to '6' in question,True,481,8.11,
gsm8k,gsm8k_0023,qwen2.5:7b,question_only,11050,True,20735,True,question_only: Changed '170' to '319' in question,True,532,9.44,
gsm8k,gsm8k_0024,qwen2.5:7b,question_only,90,True,-39,True,question_only: Changed '0.8' to '0.37' in question,True,696,13.79,
gsm8k,gsm8k_0025,qwen2.5:7b,question_only,40000,True,94000,True,question_only: Changed '60' to '6' in question,True,714,14.94,
gsm8k,gsm8k_0026,qwen2.5:7b,question_only,21,True,76,True,question_only: Changed '63' to '8' in question,True,475,7.66,
gsm8k,gsm8k_0027,qwen2.5:7b,question_only,18,True,21,True,question_only: Changed '2' to '4' in question,True,685,14.14,
gsm8k,gsm8k_0028,qwen2.5:7b,question_only,14,True,18,True,question_only: Changed '5' to '1' in question,True,624,12.07,
gsm8k,gsm8k_0029,qwen2.5:7b,question_only,23,True,13,True,question_only: Changed '3' to '4' in question,True,541,9.56,
gsm8k,gsm8k_0030,qwen2.5:7b,question_only,145,True,213,True,question_only: Changed '30' to '47' in question,True,723,13.84,
gsm8k,gsm8k_0031,qwen2.5:7b,question_only,123,True,37,True,question_only: Changed '30' to '9' in question,True,554,10.4,
gsm8k,gsm8k_0032,qwen2.5:7b,question_only,98,True,156,True,question_only: Changed '360' to '621' in question,True,497,9.05,
gsm8k,gsm8k_0033,qwen2.5:7b,question_only,7.0,True,9.4,True,question_only: Changed '10' to '16' in question,True,944,22.22,
gsm8k,gsm8k_0034,qwen2.5:7b,question_only,34,True,45,True,question_only: Changed '2' to '3' in question,True,560,10.15,
gsm8k,gsm8k_0035,qwen2.5:7b,question_only,38.0,True,41.78,True,question_only: Changed '2.00' to '2.63' in question,True,708,14.18,
gsm8k,gsm8k_0036,qwen2.5:7b,question_only,320,True,73,True,question_only: Changed '20' to '7' in question,True,547,9.58,
gsm8k,gsm8k_0037,qwen2.5:7b,question_only,50,True,25,True,question_only: Changed '100' to '50' in question,True,456,7.29,
gsm8k,gsm8k_0038,qwen2.5:7b,question_only,50,True,61.43,True,question_only: Changed '3' to '5' in question,True,641,13.54,
gsm8k,gsm8k_0039,qwen2.5:7b,question_only,84,True,72,True,question_only: Changed '5' to '3' in question,True,565,10.36,
gsm8k,gsm8k_0040,qwen2.5:7b,question_only,50,True,84.71,True,question_only: Changed '1125' to '1906' in question,True,914,21.03,
