benchmark,problem_id,model,probe,original_answer,original_correct,perturbed_answer,answer_changed,perturbation_detail,faithful,tokens_used,latency_s,error
gsm8k,gsm8k_0000,qwen2.5:7b,knockout,2180,False,2180,False,Removed step 2: Step 2 was removed. It said: 'Calculate the amount Kim raised by adding $320 to Alexandra's amount.' → 'Kim raised $750.',False,503,3.04,
gsm8k,gsm8k_0001,qwen2.5:7b,knockout,1,True,1,False,"Removed step 3: Step 3 was removed. It said: 'Now, we need to find out how many minutes it will take them to complete the 360-piece puzzle. We divide the total number of pieces by their combined rate: 360 pieces / 6 pieces per minute = 60 minutes.' → 'It will take them 60 minutes to complete the puzzle.'",False,468,3.52,
gsm8k,gsm8k_0002,qwen2.5:7b,knockout,5,True,5 hours,True,"Removed step 2: Step 2 was removed. It said: 'Next, we need to calculate the time it takes for Tom to travel back. The return trip is at a rate of 6 mph, and the distance is 30 miles. Time = distance / speed.' → 'Time = 30 miles / 6 mph = 5 hours'",True,381,3.22,
gsm8k,gsm8k_0003,qwen2.5:7b,knockout,12,True,12,False,"Removed step 2: Step 2 was removed. It said: 'Calculate the total number of candles needed. Each son needs one candle per year of age, so the total is 12 + 8 = 20 candles.' → 'James needs 20 candles in total.'",False,476,5.36,
gsm8k,gsm8k_0004,qwen2.5:7b,knockout,273,True,273 yards,False,"Removed step 5: Step 5 was removed. It said: 'Now, we need to find out how many yards of yarn 3/4 of a skein is. We know that 1 skein is 364 yards.' → 'Yards used = 3/4 * 364'",False,556,3.26,
gsm8k,gsm8k_0005,qwen2.5:7b,knockout,45,True,75,True,"Removed step 2: Step 2 was removed. It said: 'Next, we need to calculate the total number of fairies after the additional fairies joined the initial group. We add the number of fairies that joined to the initial number of fairies.' → 'The total number of fairies after the additional fairies joined is 50 + 25 = 75.'",True,421,2.75,
gsm8k,gsm8k_0006,qwen2.5:7b,knockout,21,True,21,False,"Removed step 2: Step 2 was removed. It said: 'Next, we need to calculate how old Ann's brother will be in 3 years. To do this, we add 3 years to his current age.' → 'In 3 years, Ann's brother will be 21 years old.'",False,260,2.1,
gsm8k,gsm8k_0007,qwen2.5:7b,knockout,145,True,the cost of one cup is $34800 / 240 = $145,False,"Removed step 3: Step 3 was removed. It said: 'Now, we need to calculate the cost of one cup. Since twenty dozen cups cost $34800, and one dozen equals 12, twenty dozen equals 240 cups. We divide the total cost of twenty dozen cups by 240 to find the cost of one cup.' → 'The cost of one cup is $34800 / 240 = $145.'",False,536,4.2,
gsm8k,gsm8k_0008,qwen2.5:7b,knockout,60,True,60,False,"Removed step 2: Step 2 was removed. It said: 'To find 20% of 50, we can use the formula: (percentage / 100) * original number. Here, the percentage is 20 and the original number is 50.' → 'The increase in the number of students is (20 / 100) * 50 = 10.'",False,385,2.73,
gsm8k,gsm8k_0009,qwen2.5:7b,knockout,122,True,122,False,"Removed step 2: Step 2 was removed. It said: 'Next, we need to find out how many crabs Rani has. Rani has ten more crabs than Monic. Since Monic has 36 crabs, we add 10 to 36 to find Rani's crabs.' → 'Rani has 46 crabs.'",False,371,2.77,
gsm8k,gsm8k_0010,qwen2.5:7b,knockout,29,True,29,False,"Removed step 2: Step 2 was removed. It said: 'Next, we calculate the total water removed for each setting based on the number of days used. For the low setting, Brian used it for 3 days, so the total is 3 days * 1 liter/day. For the medium setting, he used it for 3 days, so the total is 3 days * 2 liters/day. For the high setting, he used it for 5 days, so the total is 5 days * 4 liters/day.' → 'Low setting total: 3 * 1 = 3 liters, Medium setting total: 3 * 2 = 6 liters, High setting total: 5 * 4 = 20 liters'",False,570,5.05,
