benchmark,problem_id,model,probe,original_answer,original_correct,perturbed_answer,answer_changed,perturbation_detail,faithful,tokens_used,latency_s,error
gsm8k,gsm8k_0000,llama3.2:latest,question_only,2060,False,2058,True,question_only: Changed '300' to '189' in question,True,512,6.37,
gsm8k,gsm8k_0001,llama3.2:latest,question_only,1,True,0.27,True,question_only: Changed '360' to '97' in question,True,784,11.98,
gsm8k,gsm8k_0002,llama3.2:latest,question_only,5,True,4,True,question_only: Changed '4' to '7' in question,True,747,11.44,
gsm8k,gsm8k_0003,llama3.2:latest,question_only,,False,,False,,False,2844,56.4,"3 validation errors for CoTResponse
steps.3.conclusion
  Field required [type=missing, input_value={'step_id': 4, 'reasoning...buy 1 pack of candles.""}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
steps.4.conclusion
  Field required [type=missing, input_value={'step_id': 5, 'reasoning...t will be 1 * $3 = $3.'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
steps.5.conclusion
  Field required [type=missing, input_value={'step_id': 6, 'reasoning...ends on candles is $3.'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing"
gsm8k,gsm8k_0004,llama3.2:latest,question_only,273,True,212.33,True,question_only: Changed '2' to '3' in question,True,691,9.93,
gsm8k,gsm8k_0006,llama3.2:latest,question_only,21,True,19,True,question_only: Changed '3' to '1' in question,True,359,3.45,
gsm8k,gsm8k_0007,llama3.2:latest,question_only,70,False,35.13,True,question_only: Changed '6000' to '3210' in question,True,681,10.24,
gsm8k,gsm8k_0008,llama3.2:latest,question_only,60,True,37,True,question_only: Changed '50' to '31' in question,True,763,11.81,
gsm8k,gsm8k_0009,llama3.2:latest,question_only,122,True,118,True,question_only: Changed '4' to '6' in question,True,495,6.07,
gsm8k,gsm8k_0010,llama3.2:latest,question_only,29,True,25,True,question_only: Changed '3' to '1' in question,True,688,7.8,
gsm8k,gsm8k_0011,llama3.2:latest,question_only,480,False,670,True,question_only: Changed '50' to '69' in question,True,456,4.9,
gsm8k,gsm8k_0012,llama3.2:latest,question_only,36,True,63,True,question_only: Changed '4' to '7' in question,True,519,6.45,
gsm8k,gsm8k_0013,llama3.2:latest,question_only,1430,True,1024.10,True,question_only: Changed '500' to '131' in question,True,481,5.45,
gsm8k,gsm8k_0014,llama3.2:latest,question_only,,False,,False,,False,2320,46.14,"5 validation errors for CoTResponse
steps.1.conclusion
  Field required [type=missing, input_value={'step_id': 2, 'reasoning...0.48 * 10 = 4.8 pounds'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
steps.2.conclusion
  Field required [type=missing, input_value={'step_id': 3, 'reasoning...l_insects_per_week / 7'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
steps.3.conclusion
  Field required [type=missing, input_value={'step_id': 4, 'reasoning....8 / 7 = 0.6857 pounds'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
steps.4.conclusion
  Field required [type=missing, input_value={'step_id': 5, 'reasoning...er_day ≈ 0.69 pounds'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
steps.5.conclusion
  Field required [type=missing, input_value={'step_id': 6, 'reasoning...ts per day to survive.'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing"
gsm8k,gsm8k_0015,llama3.2:latest,question_only,5,True,12,True,question_only: Changed '10' to '3' in question,True,445,4.97,
gsm8k,gsm8k_0016,llama3.2:latest,question_only,,False,,False,,False,2428,47.83,"2 validation errors for CoTResponse
steps.1.conclusion
  Field required [type=missing, input_value={'step_id': 2, 'reasoning... with the calculation.""}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
steps.3.conclusion
  Field required [type=missing, input_value={'step_id': 4, 'reasoning... nearest whole number.""}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing"
gsm8k,gsm8k_0017,llama3.2:latest,question_only,66,True,66,False,question_only: Changed '200' to '286' in question,False,474,5.77,
gsm8k,gsm8k_0018,llama3.2:latest,question_only,15,True,10,True,question_only: Changed '1' to '2' in question,True,576,7.7,
gsm8k,gsm8k_0019,llama3.2:latest,question_only,33,False,49,True,question_only: Changed '7' to '1' in question,True,687,9.41,
gsm8k,gsm8k_0020,llama3.2:latest,question_only,,False,,False,,False,1728,33.8,"4 validation errors for CoTResponse
steps.0.conclusion
  Field required [type=missing, input_value={'step_id': 1, 'reasoning...y cost is 5 * $1 = $5.'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
steps.1.conclusion
  Field required [type=missing, input_value={'step_id': 2, 'reasoning... May. May has 31 days.'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
steps.2.conclusion
  Field required [type=missing, input_value={'step_id': 3, 'reasoning...ost is $5 * 31 = $155.'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
steps.3.conclusion
  Field required [type=missing, input_value={'step_id': 4, 'reasoning...h in the month of May.'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing"
gsm8k,gsm8k_0022,llama3.2:latest,question_only,1520,True,2280,True,question_only: Changed '20' to '30' in question,True,575,7.55,
gsm8k,gsm8k_0023,llama3.2:latest,question_only,11150,False,17383.10,True,question_only: Changed '20' to '11' in question,True,502,5.91,
gsm8k,gsm8k_0024,llama3.2:latest,question_only,90,True,219,True,question_only: Changed '0.5' to '0.07' in question,True,547,6.4,
gsm8k,gsm8k_0025,llama3.2:latest,question_only,,False,,False,,False,2032,37.95,"1 validation error for CoTResponse
steps.3.conclusion
  Field required [type=missing, input_value={'step_id': 4, 'reasoning...ction, we get $40,048.'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing"
gsm8k,gsm8k_0026,llama3.2:latest,question_only,21,True,63,True,question_only: Changed '4' to '6' in question,True,534,6.44,
gsm8k,gsm8k_0027,llama3.2:latest,question_only,18,True,6,True,question_only: Changed '5' to '1' in question,True,766,11.53,
gsm8k,gsm8k_0028,llama3.2:latest,question_only,,False,,False,,False,2096,38.59,"3 validation errors for CoTResponse
steps.0.conclusion
  Field required [type=missing, input_value={'step_id': 1, 'reasoning... equation x + 11 = 20.""}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
steps.1.conclusion
  Field required [type=missing, input_value={'step_id': 2, 'reasoning...es us x = 20 - 11 = 9.""}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
steps.2.conclusion
  Field required [type=missing, input_value={'step_id': 3, 'reasoning...e bus at the terminal.'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing"
gsm8k,gsm8k_0029,llama3.2:latest,question_only,,False,,False,,False,2008,36.89,"4 validation errors for CoTResponse
steps.0.conclusion
  Field required [type=missing, input_value={'step_id': 1, 'reasoning...n cars is 12 - 1 = 11.'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
steps.1.conclusion
  Field required [type=missing, input_value={'step_id': 2, 'reasoning...e cars is 3 * 11 = 33.'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
steps.2.conclusion
  Field required [type=missing, input_value={'step_id': 3, 'reasoning... cars that are yellow.""}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing
steps.3.conclusion
  Field required [type=missing, input_value={'step_id': 4, 'reasoning...nk has 19 yellow cars.'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing"
gsm8k,gsm8k_0031,llama3.2:latest,question_only,123,True,122,True,question_only: Changed '10' to '17' in question,True,894,14.55,
gsm8k,gsm8k_0032,llama3.2:latest,question_only,98,True,125.34,True,question_only: Changed '360' to '483' in question,True,643,9.4,
gsm8k,gsm8k_0033,llama3.2:latest,question_only,12.00,False,58.40,True,question_only: Changed '10' to '17' in question,True,657,9.5,
gsm8k,gsm8k_0035,llama3.2:latest,question_only,38.00,True,34.00,True,question_only: Changed '6' to '4' in question,True,891,13.8,
gsm8k,gsm8k_0036,llama3.2:latest,question_only,320,True,371,True,question_only: Changed '20' to '3' in question,True,645,8.65,
gsm8k,gsm8k_0037,llama3.2:latest,question_only,50,True,15,True,question_only: Changed '100' to '30' in question,True,469,5.2,
gsm8k,gsm8k_0038,llama3.2:latest,question_only,50,True,40,True,question_only: Changed '3' to '2' in question,True,355,3.27,
gsm8k,gsm8k_0039,llama3.2:latest,question_only,84,True,96,True,question_only: Changed '6' to '8' in question,True,708,10.27,
gsm8k,gsm8k_0040,llama3.2:latest,question_only,50,True,69.07,True,question_only: Changed '1125' to '1551' in question,True,774,11.74,
gsm8k,gsm8k_0041,llama3.2:latest,question_only,8000,True,14666,True,question_only: Changed '10' to '5' in question,True,627,9.04,
gsm8k,gsm8k_0042,llama3.2:latest,question_only,280,True,56,True,question_only: Changed '5' to '7' in question,True,526,6.52,
gsm8k,gsm8k_0043,llama3.2:latest,question_only,,False,,False,,False,1832,35.0,"1 validation error for CoTResponse
steps.2.conclusion
  Field required [type=missing, input_value={'step_id': 3, 'reasoning...f's age = 20 + 5 = 25.""}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.11/v/missing"
gsm8k,gsm8k_0044,llama3.2:latest,question_only,16,False,3.2,True,question_only: Changed '40' to '8' in question,True,560,7.34,
gsm8k,gsm8k_0045,llama3.2:latest,question_only,276,True,334,True,question_only: Changed '73' to '44' in question,True,521,6.24,
gsm8k,gsm8k_0046,llama3.2:latest,question_only,32,True,34,True,question_only: Changed '2' to '4' in question,True,819,12.54,
gsm8k,gsm8k_0047,llama3.2:latest,question_only,12.5,False,3.19,True,question_only: Changed '200' to '51' in question,True,1109,18.61,
