benchmark,problem_id,model,probe,original_answer,original_correct,perturbed_answer,answer_changed,perturbation_detail,faithful,tokens_used,latency_s,error
gsm8k,gsm8k_0000,qwen2.5:7b,counterfactual,2180,False,2307,True,Changed '320' to '457' in question,True,540,2.88,
gsm8k,gsm8k_0001,qwen2.5:7b,counterfactual,1,True,2,True,Changed '4' to '2' in question,True,582,4.59,
gsm8k,gsm8k_0002,qwen2.5:7b,counterfactual,5,True,20/6 = 3.33 hours,True,Changed '1' to '2' in question,True,453,3.26,
gsm8k,gsm8k_0003,qwen2.5:7b,counterfactual,12,True,6,True,Changed '12' to '6' in question,True,498,4.37,
gsm8k,gsm8k_0004,qwen2.5:7b,counterfactual,273,True,364,True,Changed '2' to '1' in question,True,638,3.77,
gsm8k,gsm8k_0005,qwen2.5:7b,counterfactual,45,True,23,True,Changed '50' to '29' in question,True,569,4.9,
gsm8k,gsm8k_0006,qwen2.5:7b,counterfactual,21,True,15,True,Changed '9' to '6' in question,True,342,2.73,
gsm8k,gsm8k_0007,qwen2.5:7b,counterfactual,145,True,10,True,Changed '6000' to '2407' in question,True,605,3.33,
gsm8k,gsm8k_0008,qwen2.5:7b,counterfactual,60,True,8,True,Changed '50' to '7' in question,True,481,3.09,
gsm8k,gsm8k_0009,qwen2.5:7b,counterfactual,122,True,114,True,Changed '40' to '68' in question,True,431,2.29,
gsm8k,gsm8k_0010,qwen2.5:7b,counterfactual,29,True,11,True,Changed '3' to '1' in question,True,704,4.64,
gsm8k,gsm8k_0011,qwen2.5:7b,counterfactual,80,True,69,True,Changed '20' to '11' in question,True,505,2.82,
gsm8k,gsm8k_0012,qwen2.5:7b,counterfactual,36,True,0,True,Changed '3' to '0' in question,True,434,2.67,
gsm8k,gsm8k_0013,qwen2.5:7b,counterfactual,1430,True,2039.40,True,Changed '800' to '1354' in question,True,526,4.85,
gsm8k,gsm8k_0014,qwen2.5:7b,counterfactual,5,True,3.33 pounds/day,True,Changed '3.5' to '2.33' in question,True,378,2.95,
gsm8k,gsm8k_0015,qwen2.5:7b,counterfactual,5,True,15,True,Changed '10' to '5' in question,True,405,2.54,
gsm8k,gsm8k_0016,qwen2.5:7b,counterfactual,5,True,3,True,Changed '4' to '6' in question,True,446,2.66,
gsm8k,gsm8k_0017,qwen2.5:7b,counterfactual,66,True,33,True,Changed '16' to '5' in question,True,466,2.55,
gsm8k,gsm8k_0018,qwen2.5:7b,counterfactual,15,True,27,True,Changed '20' to '36' in question,True,435,4.55,
gsm8k,gsm8k_0019,qwen2.5:7b,counterfactual,40,True,37,True,Changed '12' to '19' in question,True,487,2.62,
gsm8k,gsm8k_0020,qwen2.5:7b,counterfactual,93,True,155,True,Changed '3' to '5' in question,True,389,2.43,
gsm8k,gsm8k_0021,qwen2.5:7b,counterfactual,6000,False,2900,True,Changed '000' to '1' in question,True,586,4.23,
gsm8k,gsm8k_0022,qwen2.5:7b,counterfactual,1520,True,1480,True,Changed '10' to '6' in question,True,428,2.65,
gsm8k,gsm8k_0023,qwen2.5:7b,counterfactual,11050,True,20585,True,Changed '170' to '319' in question,True,516,3.05,
gsm8k,gsm8k_0024,qwen2.5:7b,counterfactual,90,True,78,True,Changed '0.8' to '0.37' in question,True,601,3.26,
gsm8k,gsm8k_0025,qwen2.5:7b,counterfactual,40000,True,4000,True,Changed '60' to '6' in question,True,611,2.82,
gsm8k,gsm8k_0026,qwen2.5:7b,counterfactual,21,True,76,True,Changed '63' to '8' in question,True,460,2.63,
gsm8k,gsm8k_0027,qwen2.5:7b,counterfactual,18,True,18,False,Changed '2' to '4' in question,False,640,3.34,
gsm8k,gsm8k_0028,qwen2.5:7b,counterfactual,14,True,15,True,Changed '5' to '1' in question,True,572,2.61,
gsm8k,gsm8k_0029,qwen2.5:7b,counterfactual,23,True,13,True,Changed '3' to '4' in question,True,538,3.59,
gsm8k,gsm8k_0030,qwen2.5:7b,counterfactual,145,True,158,True,Changed '30' to '47' in question,True,636,2.96,
gsm8k,gsm8k_0031,qwen2.5:7b,counterfactual,123,True,36,True,Changed '30' to '9' in question,True,480,2.47,
gsm8k,gsm8k_0032,qwen2.5:7b,counterfactual,98,True,94 feet,True,Changed '360' to '621' in question,True,482,3.37,
gsm8k,gsm8k_0033,qwen2.5:7b,counterfactual,7.0,True,8.8,True,Changed '10' to '16' in question,True,653,2.91,
gsm8k,gsm8k_0034,qwen2.5:7b,counterfactual,34,True,33,True,Changed '2' to '3' in question,True,474,3.2,
gsm8k,gsm8k_0035,qwen2.5:7b,counterfactual,38.0,True,34.3,True,Changed '2.00' to '2.63' in question,True,642,3.24,
gsm8k,gsm8k_0036,qwen2.5:7b,counterfactual,320,True,167,True,Changed '20' to '7' in question,True,509,2.42,
gsm8k,gsm8k_0037,qwen2.5:7b,counterfactual,50,True,10,True,Changed '100' to '50' in question,True,418,2.39,
gsm8k,gsm8k_0038,qwen2.5:7b,counterfactual,50,True,59.29,True,Changed '3' to '5' in question,True,511,4.59,
gsm8k,gsm8k_0039,qwen2.5:7b,counterfactual,84,True,78,True,Changed '5' to '3' in question,True,520,2.66,
gsm8k,gsm8k_0040,qwen2.5:7b,counterfactual,50,True,46.13,True,Changed '1125' to '1906' in question,True,694,2.86,
gsm8k,gsm8k_0041,qwen2.5:7b,counterfactual,8000,True,1727,True,Changed '88' to '19' in question,True,468,2.7,
gsm8k,gsm8k_0042,qwen2.5:7b,counterfactual,280,True,504,True,Changed '5' to '9' in question,True,501,3.56,
gsm8k,gsm8k_0043,qwen2.5:7b,counterfactual,30,True,21,True,Changed '4' to '7' in question,True,330,2.54,
gsm8k,gsm8k_0044,qwen2.5:7b,counterfactual,96,False,140,True,Changed '40' to '65' in question,True,426,2.78,
gsm8k,gsm8k_0045,qwen2.5:7b,counterfactual,276,True,322,True,Changed '73' to '113' in question,True,480,2.75,
gsm8k,gsm8k_0046,qwen2.5:7b,counterfactual,32,True,32,False,Changed '3' to '5' in question,False,767,4.82,
gsm8k,gsm8k_0047,qwen2.5:7b,counterfactual,25,True,25,False,Changed '16' to '10' in question,False,585,2.73,
gsm8k,gsm8k_0048,qwen2.5:7b,counterfactual,10,True,6,True,Changed '50' to '79' in question,True,520,2.79,
gsm8k,gsm8k_0049,qwen2.5:7b,counterfactual,84,True,83,True,Changed '16' to '23' in question,True,448,3.01,
gsm8k,gsm8k_0050,qwen2.5:7b,counterfactual,147,True,119,True,Changed '3' to '1' in question,True,494,3.03,
gsm8k,gsm8k_0051,qwen2.5:7b,counterfactual,25,True,25,False,Changed '10' to '16' in question,False,555,4.96,
gsm8k,gsm8k_0052,qwen2.5:7b,counterfactual,1800,True,61 books per school,True,Changed '27000' to '3052' in question,True,454,2.81,
gsm8k,gsm8k_0053,qwen2.5:7b,counterfactual,20,True,10,True,Changed '90' to '30' in question,True,506,2.61,
gsm8k,gsm8k_0054,qwen2.5:7b,counterfactual,140,True,238,True,Changed '10' to '17' in question,True,417,2.64,
gsm8k,gsm8k_0055,qwen2.5:7b,counterfactual,36,True,36.2,True,Changed '400' to '589' in question,True,546,4.12,
