benchmark,problem_id,model,probe,original_answer,original_correct,perturbed_answer,answer_changed,perturbation_detail,faithful,tokens_used,latency_s,error
gsm8k,gsm8k_0000,llama3.1:8b,counterfactual,2180,False,1189,True,Changed '300' to '179' in question,True,395,4.12,
gsm8k,gsm8k_0001,llama3.1:8b,counterfactual,1,True,1,False,Changed '360' to '576' in question,False,549,6.85,
gsm8k,gsm8k_0002,llama3.1:8b,counterfactual,5,True,5,False,Changed '6' to '4' in question,False,535,4.62,
gsm8k,gsm8k_0003,llama3.1:8b,counterfactual,6,False,9,True,Changed '5' to '1' in question,True,551,8.97,
gsm8k,gsm8k_0004,llama3.1:8b,counterfactual,273,True,909,True,Changed '1' to '2' in question,True,455,8.92,
gsm8k,gsm8k_0005,llama3.1:8b,counterfactual,45,True,24,True,Changed '30' to '51' in question,True,548,7.17,
gsm8k,gsm8k_0006,llama3.1:8b,counterfactual,21,True,18,True,Changed '3' to '0' in question,True,387,4.27,
gsm8k,gsm8k_0007,llama3.1:8b,counterfactual,1450,False,1924.33,True,Changed '6000' to '7893' in question,True,486,7.85,
gsm8k,gsm8k_0008,llama3.1:8b,counterfactual,60,True,the total number of students enrolled this year is 50 + (50 * 0.37) = 50 + 18.5 = 68.5,True,Changed '20' to '37' in question,True,486,11.42,
gsm8k,gsm8k_0009,llama3.1:8b,counterfactual,122,True,let's recalculate the number of crabs monic has. monic has 6 fewer crabs than bo who has 40 crabs. → monic has 40 - 6 = 34 crabs. now let's calculate the number of crabs rani has. rani has 10 more crabs than monic. → rani has 34 + 10 = 44 crabs. now let's add up the number of crabs each person has to find the total number of crabs. → total number of crabs = bo's crabs + monic's crabs + rani's crabs = 40 + 34 + 44. perform the addition to find the total number of crabs. → total number of crabs = 40 + 34 + 44 = 118,True,Changed '4' to '6' in question,True,624,12.53,
gsm8k,gsm8k_0010,llama3.1:8b,counterfactual,29,True,the total amount of water removed is 3 x 2 + 3 x 2 + 5 x 4 = 6 + 6 + 20 = 32 liters,True,Changed '1' to '2' in question,True,765,8.94,
gsm8k,gsm8k_0011,llama3.1:8b,counterfactual,80,True,600 - (500 + 28) = 72,True,Changed '20' to '28' in question,True,589,6.01,
gsm8k,gsm8k_0012,llama3.1:8b,counterfactual,36,True,4 * (1 + 0.5) * 3 = 18,True,Changed '2' to '1' in question,True,586,6.8,
gsm8k,gsm8k_0013,llama3.1:8b,counterfactual,1430,True,1561,True,Changed '500' to '761' in question,True,437,5.57,
gsm8k,gsm8k_0014,llama3.1:8b,counterfactual,5,True,1.71,True,Changed '3.5' to '1.20' in question,True,464,9.06,
gsm8k,gsm8k_0015,llama3.1:8b,counterfactual,5,True,17,True,Changed '26' to '38' in question,True,475,7.69,
gsm8k,gsm8k_0016,llama3.1:8b,counterfactual,5,True,36,True,Changed '300' to '551' in question,True,386,5.84,
gsm8k,gsm8k_0017,llama3.1:8b,counterfactual,66,True,the total amount spent by ted is 3 * 16 + 2 * 6 = 48 + 12 = 60 dollars,True,Changed '3' to '2' in question,True,448,6.13,
gsm8k,gsm8k_0018,llama3.1:8b,counterfactual,15,True,10,True,Changed '4' to '2' in question,True,570,5.68,
